date,month,month_number,year,country,divission,city,hazard_type,landslide_type,trigger,fatalities,injuries,location_accuracy_km,landslide_size,distance,population,latitude,longitude,source_link
11-06-07,June,6,2007,Bangladesh,Chittagong Division,Chittagong,landslide,Landslide,Monsoon,128,150,15,Very_large,2.48492,3920222,22.3555,91.8205,http://en.wikipedia.org/wiki/2007_Chittagong_mudslide
11-06-07,June,6,2007,Bangladesh,Chittagong Division,Manikchari,landslide,Mudslide,Downpour,3,0,10,Medium,25.83472,25708,22.6368,92.1453,http://en.wikipedia.org/wiki/2007_Chittagong_mudslide
10-09-07,September,9,2007,Bangladesh,Chittagong Division,Nabinagar ,landslide,Mudslide,Rain,2,0,5,Medium,0.68998,31671,23.8917,90.9733,http://www.thedailystar.net/story.php?nid=3742
15-10-07,October,10,2007,Bangladesh,Khulna Division,Betbunia,landslide,Mudslide,Rain,3,0,5,Medium,23.346,37985,22.5333,89.4,
19-10-07,October,10,2007,Bangladesh,Chittagong Division,Baraiyarhat,landslide,Landslide,Rain,0,0,10,Medium,14.65105,39335,22.894,91.5327,
03-07-08,July,7,2008,Bangladesh,Chittagong Division,Cox's Bazar,landslide,Landslide,Downpour,20,0,5,Medium,3.68821,253788,21.44,92,
01-08-08,August,8,2008,Bangladesh,Sylhet Division,Sylhet,landslide,Landslide,Rain,0,0,50,Medium,3.0718,237000,24.896,91.9022,
18-08-08,August,8,2008,Bangladesh,Chittagong Division,Chittagong,landslide,Landslide,Monsoon,11,0,10,Medium,0.83926,3920222,22.3421,91.8242,
23-08-08,August,8,2008,Bangladesh,Chittagong Division,Chittagong,landslide,Landslide,Downpour,0,0,10,Medium,1.46523,3920222,22.344,91.8188,http://www.thedailystar.net/story.php?nid=51653
18-05-09,May,5,2009,Bangladesh,Sylhet Division,Sreemangal,landslide,Mudslide,Downpour,6,0,10,Medium,16.13337,5508,24.3083,91.7333,
31-07-09,July,7,2009,Bangladesh,Chittagong Division,Bandarban,landslide,Landslide,Downpour,10,0,5,Medium,4.48178,32523,22.2251,92.19,
